,Day,Max_Temperature,Avg_Temperature,Min_Temperature,Max_Dew_Point,Avg_Dew_Point,Min_Dew_Point,Max_Humidity,Avg_Humidity,Min_Humidity,Max_Wind_Speed,Avg_Wind_Speed,min_Wind_Speed,Max_Pressure,Avg_Pressure,Min_Pressure,Precipitation,month,year
50,23,81,69.7,59,41,37.5,36,45,31.5,21,6,2.4,0,27.8,27.8,27.7,0.00,2.0,2018.0
51,24,73,65.5,61,59,51.0,39,88,62.8,35,25,10.1,3,27.8,27.8,27.7,0.00,2.0,2018.0
52,25,75,65.4,57,57,51.7,43,88,64.1,31,12,5.4,0,27.9,27.8,27.7,0.00,2.0,2018.0
53,26,73,65.5,55,57,53.3,48,88,66.2,50,13,6.9,0,27.9,27.9,27.8,0.00,2.0,2018.0
54,27,82,72.4,64,57,52.3,48,68,50.6,32,15,9.1,5,27.9,27.8,27.7,0.00,2.0,2018.0
55,28,81,67.1,0,57,50.7,0,88,55.4,0,10,6.0,0,27.9,27.8,27.8,0.00,2.0,2018.0
56,1,75,65.8,61,59,53.9,46,88,68.7,38,15,9.7,6,27.9,27.8,27.8,0.00,3.0,2018.0
57,2,72,64.7,57,55,48.0,39,88,59.0,31,10,6.0,2,28.0,27.9,27.9,0.00,3.0,2018.0
58,3,75,66.7,55,46,43.3,39,67,44.1,29,6,3.4,0,28.1,28.0,27.9,0.00,3.0,2018.0
59,4,82,70.5,57,48,41.9,36,72,40.3,20,10,3.9,0,27.9,27.9,27.9,0.00,3.0,2018.0
60,5,82,73.0,61,46,38.8,32,55,30.9,17,17,6.2,0,28.0,27.9,27.9,0.00,3.0,2018.0
61,6,90,76.6,61,41,36.2,32,48,25.5,13,12,4.5,0,28.0,27.9,27.9,0.00,3.0,2018.0
62,7,91,77.7,64,37,27.5,19,37,18.3,8,9,5.3,0,28.0,27.9,27.9,0.00,3.0,2018.0
63,8,93,77.4,59,32,24.4,19,34,15.8,7,9,3.6,0,27.9,27.9,27.8,0.00,3.0,2018.0
64,9,93,74.9,0,39,29.5,0,45,19.8,0,10,4.2,0,27.9,27.8,27.8,0.00,3.0,2018.0
65,10,93,81.6,66,32,25.1,18,28,14.0,6,17,9.6,0,27.8,27.8,27.7,0.00,3.0,2018.0
66,11,88,75.2,64,43,35.1,25,43,25.2,11,20,8.6,2,27.9,27.8,27.7,0.00,3.0,2018.0
67,12,82,72.0,64,43,33.3,25,35,24.5,17,17,9.5,3,27.9,27.9,27.8,0.00,3.0,2018.0
68,13,81,71.9,63,32,31.0,28,32,23.2,15,9,5.7,2,28.0,27.9,27.9,0.00,3.0,2018.0
69,14,86,74.3,61,34,31.4,28,34,21.9,12,10,5.9,3,28.0,27.9,27.9,0.00,3.0,2018.0
70,15,91,80.4,68,34,29.3,25,26,16.3,10,15,8.5,5,27.9,27.9,27.8,0.00,3.0,2018.0
71,16,81,77.1,70,39,30.5,23,27,18.6,12,16,7.6,0,27.9,27.8,27.8,0.00,3.0,2018.0
72,17,88,76.7,66,43,31.6,21,40,21.7,9,12,7.3,2,27.9,27.8,27.8,0.00,3.0,2018.0
73,18,81,70.7,61,39,29.4,18,42,23.5,14,10,5.6,2,27.9,27.9,27.9,0.00,3.0,2018.0
74,19,84,73.1,59,32,26.9,19,31,18.7,13,7,4.4,0,28.0,27.9,27.9,0.00,3.0,2018.0
75,20,95,81.5,70,34,31.6,28,27,17.5,10,10,7.0,3,28.0,27.9,27.9,0.00,3.0,2018.0
76,21,99,83.2,66,36,30.1,25,32,16.1,8,13,5.7,0,27.9,27.9,27.8,0.00,3.0,2018.0
77,22,91,79.2,66,39,31.5,23,35,19.4,10,13,6.5,0,27.9,27.9,27.8,0.00,3.0,2018.0
78,23,91,77.0,64,30,23.2,18,26,15.1,8,7,3.8,0,27.9,27.9,27.9,0.00,3.0,2018.0
79,24,91,75.9,59,19,12.2,5,22,10.2,4,8,3.5,0,28.0,27.9,27.9,0.00,3.0,2018.0
80,25,90,76.2,63,18,13.0,7,16,9.6,6,12,5.4,2,28.0,28.0,27.9,0.00,3.0,2018.0
81,26,91,77.9,59,21,16.4,10,17,10.5,6,14,4.4,0,28.1,28.0,28.0,0.00,3.0,2018.0
82,27,95,79.0,59,27,22.2,14,27,13.8,5,8,2.6,0,28.1,28.0,27.9,0.00,3.0,2018.0
83,28,97,82.0,63,28,23.9,19,24,13.0,6,9,3.4,0,27.9,27.9,27.8,0.00,3.0,2018.0
84,1,82,73.5,66,41,33.2,27,31,23.3,17,16,6.4,2,28.0,27.9,27.8,0.00,4.0,2018.0
85,2,88,78.0,68,39,35.8,32,33,22.7,15,12,5.9,0,27.9,27.9,27.8,0.00,4.0,2018.0
86,3,90,81.3,73,48,37.0,32,34,21.4,13,23,9.1,3,27.9,27.9,27.8,0.00,4.0,2018.0
87,4,95,81.7,68,59,41.2,32,73,26.2,12,35,11.4,0,27.9,27.8,27.7,0.00,4.0,2018.0
88,5,90,75.7,66,61,50.4,39,78,45.9,18,31,11.6,2,27.9,27.8,27.7,0.00,4.0,2018.0
89,6,79,71.1,66,63,56.8,48,88,62.9,34,15,9.2,3,27.9,27.8,27.7,0.00,4.0,2018.0
90,7,90,77.6,66,61,54.1,46,78,48.7,22,10,7.4,5,27.9,27.8,27.8,0.00,4.0,2018.0
91,8,95,79.6,68,59,51.9,43,68,42.5,16,20,7.1,0,27.9,27.8,27.8,0.00,4.0,2018.0
92,9,91,77.9,68,63,56.6,50,78,51.1,26,31,11.1,0,27.9,27.8,27.8,0.00,4.0,2018.0
